question,date,yes_price,no_price
"Will Trump say ""border"" 25 or more times during Michigan rally on October 25?",2024-10-26,0.36,0.64
"Will Trump say ""China"" 10 or more times during Michigan rally on October 25?",2024-10-26,0.625,0.375
"Will Trump say ""NAFTA"" during Michigan rally on October 25?",2024-10-26,0.575,0.425
Trump wins every swing state?,2024-10-26,0.305,0.695
Will Trump win 6 swing states?,2024-10-26,0.145,0.855
"Will Trump say ""North Carolina"" 5 or more times during Michigan rally on October 25?",2024-10-26,0.255,0.745
Trump ineligible to run for President?,2024-10-26,0.0055,0.9945
Will Trump win 4 swing states?,2024-10-26,0.095,0.905
Will Trump win 5 swing states?,2024-10-26,0.115,0.885
"Will Trump say ""Hitler"" during Michigan rally on October 25?",2024-10-26,0.155,0.845
Will Trump get more votes than 2020?,2024-10-26,0.795,0.205
"Will Trump say ""GM"" or ""General Motors"" during Michigan rally on October 25?",2024-10-26,0.3,0.7
"Will Trump say ""death penalty"" during Michigan rally on October 25?",2024-10-26,0.865,0.135
"Will Trump say ""crypto"" or ""Bitcoin"" during Michigan rally on October 25?",2024-10-26,0.045,0.955
Will Trump win no swing states?,2024-10-26,0.095,0.905
"Will Trump say ""frack"" or ""fracking"" 4 or more times during Michigan rally on October 25?",2024-10-26,0.82,0.18
Will Trump win 7 swing states?,2024-10-26,0.305,0.695
"Will Trump say ""Mexico"" 5 or more times during Michigan rally on October 25?",2024-10-26,0.66,0.34
"Will Trump say ""inflation"" 10 or more times during New York rally on October 27?",2024-10-26,0.42,0.58
Will Trump win 1 swing state?,2024-10-26,0.075,0.925
Will Trump win 3 swing states?,2024-10-26,0.1,0.9
Will Trump win Mississippi by 20+ points?,2024-10-26,0.47,0.53
"Will Trump say ""trans"" during Michigan rally on October 25?",2024-10-26,0.93,0.07
Will Trump win 2 swing states?,2024-10-26,0.105,0.895
Will Trump win Texas by 10+ points?,2024-10-26,0.375,0.625
Will Trump win another state by the largest margin?,2024-10-26,0.02,0.98
Trump blowout victory?,2024-10-26,0.18,0.82
"Will Trump say ""Pocahontas"" during Michigan rally on October 25?",2024-10-26,0.775,0.225
Trump wins a solid blue state?,2024-10-26,0.21,0.79
"Will Trump say ""women's sports"" during Michigan rally on October 25?",2024-10-26,0.92,0.08
Will Kanye West win the 2024 US Presidential Election?,2024-10-26,0.0005,0.9995
Will Robert F. Kennedy Jr. win the 2024 US Presidential Election?,2024-10-26,0.0005,0.9995
Will Trump win Florida by 8+ points?,2024-10-26,0.635,0.365
"Will Trump say ""Kamala"" 20 or more times during Michigan rally on October 25?",2024-10-26,0.88,0.12
Trump gets more black voters than in 2020?,2024-10-26,0.875,0.125
Will RFK Jr. win the popular vote in the 2024 Presidential Election?,2024-10-26,0.0005,0.9995
Will Trump go on Redscare?,2024-10-26,0.0505,0.9495
"Will Trump say ""McDonald's"" during Pennsylvania rally on October 26?",2024-10-26,0.84,0.16
"Will Trump say ""Elon"" 5 or more times during Michigan rally on October 25?",2024-10-26,0.67,0.33
Will Gavin Newsom win the 2024 US Presidential Election?,2024-10-26,0.0005,0.9995
Will Kanye West win the popular vote in the 2024 Presidential Election?,2024-10-26,0.0005,0.9995
Will Michigan be the last state to be called by the AP?,2024-10-26,0.07,0.93
Will Trump win 55% of voters without a college degree?,2024-10-26,0.395,0.605
Trump convicted of another felony before election?,2024-10-26,0.0095,0.9905
"Will Trump say ""too big to rig"" 2 or more times during New York rally on October 27?",2024-10-26,0.7,0.3
Will Trump be Speaker by January 1?,2024-10-26,0.02,0.98
Will Trump win Florida by 12+ points?,2024-10-26,0.205,0.795
Will Ron DeSantis win the 2024 US Presidential Election?,2024-10-26,0.0005,0.9995
Will Trump mention $MAGA before Election?,2024-10-26,0.0365,0.9635
"Will Trump say ""economic wasteland"" during Pennsylvania rally on October 26?",2024-10-26,0.55,0.45
Will Gavin Newsom win the popular vote in the 2024 Presidential Election?,2024-10-26,0.0005,0.9995
Trump fires campaign manager?,2024-10-26,0.0205,0.9795
Will Trump win Miami?,2024-10-26,0.575,0.425
Will any other Republican Politician win the 2024 US Presidential Election?,2024-10-26,0.0005,0.9995
Trump in jail before election day?,2024-10-26,0.0135,0.9865
Will Ron DeSantis win the popular vote in the 2024 Presidential Election?,2024-10-26,0.0005,0.9995
Will Trump win Alaska by 6+ points?,2024-10-26,0.865,0.135
Trump-Vance Republican ticket on election day?,2024-10-26,0.992,0.008
Will Michigan be the closest state?,2024-10-26,0.117,0.883
Will Trump win Arkansas by the largest margin?,2024-10-26,0.0025,0.9975
Will Joe Biden win the 2024 US Presidential Election?,2024-10-26,0.0005,0.9995
"Will Trump say ""god"" 5 or more times during New York rally on October 27?",2024-10-26,0.445,0.555
"Will Trump say ""tax"" 30 or more times during New York rally on October 27?",2024-10-26,0.525,0.475
Will RFK Jr. debate Biden/Trump?,2024-11-04,0.0035,0.9965
Will there be another debate?,2024-11-04,0.0025,0.9975
"Will Trump say ""Kamala"" 25 or more times during Pittsburgh rally on Nov 4?",2024-11-04,0.585,0.415
Will Joe Biden endorse Donald Trump?,2024-11-04,0.004,0.996
Kamala flips a 2020 Trump state?,2024-10-13,0.37,0.63
Trump flips Kamala on 538 before election?,2024-10-13,0.325,0.675
Trump on ballot in every state?,2024-10-13,0.989,0.011
Kamala Harris wins the popular vote?,2024-10-13,0.7155,0.2845
"Will Trump say ""insane asylum"" during Arizona rally on October 13?",2024-10-13,0.85,0.15
Will Kamala Harris win the 2024 US Presidential Election?,2024-10-13,0.4475,0.5525
Trump eligible to vote in the election?,2024-10-13,0.9525,0.0475
"Will Trump say ""Kamala"" 35 or more times during California rally on October 12?",2024-10-13,0.335,0.665
"Will Trump say ""every state is a border state"" during Arizona rally on October 13?",2024-10-13,0.48,0.52
Trump in jail before election day?,2024-10-13,0.0095,0.9905
"Will Trump say ""MAGA"" 4 or more times during Arizona rally on October 13?",2024-10-13,0.685,0.315
"Will Trump say ""Dark MAGA"" during Arizona rally on October 13?",2024-10-13,0.505,0.495
Will either Kamala or Trump win every swing state?,2024-10-13,0.31,0.69
"Will Trump say ""Venezuela"" 3 or more times during Arizona rally on October 13?",2024-10-13,0.675,0.325
"Will Trump say ""hispanic"" during Arizona rally on October 13?",2024-10-13,0.79,0.21
Will Kamala win New York by 10+ points?,2024-10-13,0.87,0.13
"Will Trump say ""border"" 20 or more times during Arizona rally on October 13?",2024-10-13,0.895,0.105
"Will Trump say ""border"" 35 or more times during Arizona rally on October 13?",2024-10-13,0.46,0.54
"Will Trump say ""Nayib Bukele"" during Arizona rally on October 13?",2024-10-13,0.08,0.92
"Will Trump say ""trans"" during Arizona rally on October 13?",2024-10-13,0.845,0.155
"Rabois Parlay: Trump wins PA, MI, GA and AZ?",2024-10-13,0.325,0.675
"Will Trump say ""Border Kari Lake"" during Arizona rally on October 13?",2024-10-13,0.625,0.375
"Will Trump say ""tampon"" during Arizona rally on October 13?",2024-10-13,0.335,0.665
"Will Trump say ""Barack Hussein Obama"" during Arizona rally on October 13?",2024-10-13,0.465,0.535
Will the Democratic candidate win Arizona by 4.0% or more?,2024-10-13,0.065,0.935
"Will Trump say ""tax"" 30 or more times during Arizona rally on October 13?",2024-10-13,0.215,0.785
Will the Republican candidate win Arizona by 4.0% or more?,2024-10-13,0.205,0.795
Will the Republican candidate win Arizona by 0%-1.0%?,2024-10-13,0.12,0.88
Will the Democratic candidate win Arizona by 0%-1.0%?,2024-10-13,0.11,0.89
Will Michelle Obama win the popular vote in the 2024 Presidential Election?,2024-10-13,0.0015,0.9985
Trump wins every swing state?,2024-10-13,0.255,0.745
Will the Democratic candidate win Arizona by 3.0%-4.0%?,2024-10-13,0.04,0.96
"Will Trump say ""Vote"" 25 or more times during North Carolina rally on Nov 3?",2024-11-04,0.735,0.265
Will the Republican candidate win North Carolina by 4.0% or more?,2024-11-04,0.235,0.765
Will the Republican candidate win North Carolina by 0%-1.0%?,2024-11-04,0.115,0.885
Will the Republican candidate win North Carolina by 1.0%-2.0%?,2024-11-04,0.09,0.91
Will the Republican candidate win North Carolina by 2.0%-3.0%?,2024-11-04,0.075,0.925
Will the Republican candidate win North Carolina by 3.0%-4.0%?,2024-11-04,0.105,0.895
"Will Trump say ""North Carolina"" 20 or more times during North Carolina rally on Nov 3?",2024-11-04,0.345,0.655
"Will Trump say ""border"" 30 or more times during North Carolina rally on Nov 3?",2024-11-04,0.085,0.915
"Will Trump say  ""crypto"" or ""Bitcoin"" during North Carolina rally on Nov 3?",2024-11-04,0.021,0.979
"Will Trump say ""border"" 20 or more times during North Carolina rally on Nov 3?",2024-11-04,0.66,0.34
Will the Democratic candidate win North Carolina by 4.0% or more?,2024-11-04,0.075,0.925
Will the Democratic candidate win North Carolina by 0%-1.0%?,2024-11-04,0.145,0.855
Will the Democratic candidate win North Carolina by 1%-2.0%?,2024-11-04,0.078,0.922
Will the Democratic candidate win North Carolina by 2%-3.0%?,2024-11-04,0.0495,0.9505
Will the Democratic candidate win North Carolina by 3%-4.0%?,2024-11-04,0.041,0.959
"Will Trump say ""Million"" 5 or more times during North Carolina rally on Nov 3?",2024-11-04,0.905,0.095
"Will Trump say ""garbage"" during North Carolina rally on Nov 3?",2024-11-04,0.855,0.145
"Will Trump say ""RFK"" during North Carolina rally on Nov 3?",2024-11-04,0.68,0.32
"Will Trump say ""unrealized"" during Macon, GA rally?",2024-11-04,0.11,0.89
"Will Trump say ""MAGA"" 4 or more times during North Carolina rally on Nov 3?",2024-11-04,0.6,0.4
"Will Trump say ""crypto"" or ""Bitcoin"" during Macon, GA rally?",2024-11-04,0.0205,0.9795
Will Chris Christie win the 2024 US Presidential Election?,2024-11-04,0.0005,0.9995
Will Donald Trump win the 2024 US Presidential Election?,2024-11-04,0.5385,0.4615
Will Chris Christie win the popular vote in the 2024 Presidential Election?,2024-11-04,0.0005,0.9995
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-11-04,0.2825,0.7175
"Will Trump say ""Mark Robinson"" during North Carolina rally on Nov 3?",2024-11-04,0.215,0.785
"Will Trump say ""sex change"" during North Carolina rally on Nov 3?",2024-11-04,0.865,0.135
Will Trump get more votes than 2020?,2024-11-04,0.69,0.31
"Will Trump say ""IQ"" during Macon, GA rally?",2024-11-04,0.82,0.18
"Will Trump say ""Border"" 30 or more times during Macon, GA rally?",2024-11-04,0.08,0.92
Will Trump win Mississippi by 20+ points?,2024-11-04,0.56,0.44
"Will Trump say ""Fake News"" 10 or more times during North Carolina rally on Nov 3?",2024-11-04,0.075,0.925
Trump gets more black voters than in 2020?,2024-11-04,0.81,0.19
"Will Trump say ""Pocahontas"" during North Carolina rally on Nov 3?",2024-11-04,0.91,0.09
"Will Trump say ""Voter ID"" during Macon, GA rally?",2024-11-04,0.755,0.245
"Will Trump say ""Border"" 20 or more times during Macon, GA rally?",2024-11-04,0.6,0.4
"Will Trump say ""cognitively impaired"" during North Carolina rally on Nov 3?",2024-11-04,0.4,0.6
"Will Trump say ""Tampon"" during North Carolina rally on Nov 3?",2024-11-04,0.039,0.961
Trump eligible to vote in the election?,2024-11-04,0.8525,0.1475
"Trump wins 287-251 - AZ, GA, NV, NC, PA",2024-11-04,0.085,0.915
"Will Trump say ""Biden"" 10 or more times during Macon, GA rally?",2024-11-04,0.31,0.69
Trump wins Pennsylvania but loses the Election?,2024-11-04,0.105,0.895
Will Trump win another state by the largest margin?,2024-11-04,0.017,0.983
"Will Trump say ""Garbage"" during Macon, GA rally?",2024-11-04,0.81,0.19
Will Trump win Alaska by 6+ points?,2024-11-04,0.765,0.235
"Will Trump say ""Peanut"" or ""Squirrel"" during North Carolina rally on Nov 3?",2024-11-04,0.295,0.705
Will Trump win Alabama by 30+ points?,2024-11-04,0.435,0.565
Will Trump win North Dakota by the largest margin?,2024-11-04,0.0275,0.9725
"Trump wins 322-216 - AZ, GA, MI, MN, NV, PA, WI",2024-11-04,0.0285,0.9715
Will Trump win Texas by 10+ points?,2024-11-04,0.32,0.68
"Will Trump say ""crypto"" or ""Bitcoin"" during Pittsburgh rally on Nov 4?",2024-11-04,0.0345,0.9655
Will Trump get 74-76m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.1435,0.8565
Will Trump win Idaho by the largest margin?,2024-11-04,0.0245,0.9755
Will Trump get less than 66m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.0315,0.9685
No Trump coin reaches $1b?,2024-11-04,0.715,0.285
"Will Trump say ""rig"" or ""rigged"" during Macon, GA rally?",2024-11-04,0.925,0.075
Will Trump get 70-72m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.06,0.94
Will Trump lead in RCP by 0.5-0.9 on Nov 4?,2024-11-04,0.07,0.93
Trump wins a solid blue state?,2024-11-04,0.155,0.845
Will Trump get 76-78m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.145,0.855
"Will Trump say ""Epstein"" during Macon, GA rally?",2024-11-04,0.0275,0.9725
"Will Trump say ""crypto"" or ""Bitcoin"" during Michigan rally on Nov 4?",2024-11-04,0.0445,0.9555
Will Trump get 68-70m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.04,0.96
Will another Trump coin be first to reach $1b?,2024-11-04,0.12,0.88
Will Trump get 66-68m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.029,0.971
Will Trump go on Redscare?,2024-11-04,0.0025,0.9975
Will Trump get 72-74m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.135,0.865
Will TRUMP reach $1b first?,2024-11-04,0.105,0.895
"Will Trump say ""border"" 30 or more times during Pittsburgh rally on Nov 4?",2024-11-04,0.115,0.885
Will Trump lead in RCP by 0.1-0.4 on Nov 4?,2024-11-04,0.395,0.605
Will Trump lead in RCP by 2.5 or more on Nov 4?,2024-11-04,0.0005,0.9995
Will Trump win Florida by 12+ points?,2024-11-04,0.18,0.82
Will Trump mention $MAGA before Election?,2024-11-04,0.008,0.992
"Will Trump say ""McDonald's"" during Pittsburgh rally on Nov 4?",2024-11-04,0.83,0.17
Will Trump drop out of presidential race?,2024-11-04,0.006,0.994
Will Trump win Florida by 8+ points?,2024-11-04,0.585,0.415
"Trump wins 281-257 - AZ, GA, NC, PA",2024-11-04,0.065,0.935
"Will Trump say ""border"" 20 or more times during Pittsburgh rally on Nov 4?",2024-11-04,0.68,0.32
"Will Trump say ""Pocahontas"" during Macon, GA rally?",2024-11-04,0.905,0.095
"Trump wins 316-222 - AZ, GA, MI, MN, NC, PA, WI",2024-11-04,0.037,0.963
Will Trump get 84-86m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.075,0.925
Will Trump get 82-84m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.095,0.905
Will Trump lead in RCP by 1.5-1.9 on Nov 4?,2024-11-04,0.0035,0.9965
Will Trump get 78-80m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.175,0.825
Will Trump get 86m or more votes in the 2024 U.S. Presidential Election?,2024-11-04,0.085,0.915
"Will Trump say ""Elon"" during Macon, GA rally?",2024-11-04,0.87,0.13
Will Trump lead in RCP by 2-2.4 on Nov 4?,2024-11-04,0.0035,0.9965
Will Trump get 80-82m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.095,0.905
Will Gavin Newsom win the 2024 US Presidential Election?,2024-11-04,0.0005,0.9995
Will Trump win Missouri by 20+ points?,2024-11-04,0.19,0.81
"Will Trump say ""Barack Hussein Obama"" during Macon, GA rally?",2024-11-04,0.125,0.875
Will Trump lead in RCP by 1-1.4 on Nov 4?,2024-11-04,0.014,0.986
Will Gavin Newsom win the popular vote in the 2024 Presidential Election?,2024-11-04,0.0005,0.9995
Will Trump do better with LGTBQ voters than in 2020?,2024-11-04,0.12,0.88
"Will Trump say ""China"" 10 or more times during Macon, GA rally?",2024-11-04,0.14,0.86
"Will Trump say ""border"" 30 or more times during Michigan rally on Nov 4?",2024-11-04,0.11,0.89
Will Trump win Arkansas by the largest margin?,2024-11-04,0.0045,0.9955
Will Trump win Miami?,2024-11-04,0.505,0.495
"Will Trump say ""Dark MAGA"" during Pittsburgh rally on Nov 4?",2024-11-04,0.205,0.795
Trump wins Pennsylvania but loses the Election?,2024-11-04,0.105,0.895
"Will Trump say ""Pennsylvania"" 20 or more times during Pittsburgh rally on Nov 4?",2024-11-04,0.26,0.74
Trump eligible to vote in the election?,2024-11-04,0.8525,0.1475
Will Donald Trump win the 2024 US Presidential Election?,2024-11-04,0.5385,0.4615
"Will Trump say ""can you imagine"" 3 or more times during Pittsburgh rally on Nov 4?",2024-11-04,0.715,0.285
"Will Trump say ""McDonald's"" during Pittsburgh rally on Nov 4?",2024-11-04,0.83,0.17
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-11-04,0.2825,0.7175
"Will Trump say ""god"" 4 or more times during Pittsburgh rally on Nov 4?",2024-11-04,0.65,0.35
"Will Trump say ""Dark MAGA"" during Pittsburgh rally on Nov 4?",2024-11-04,0.205,0.795
"Will Trump say ""Vote"" 25 or more times during North Carolina rally on Nov 3?",2024-11-04,0.735,0.265
"Will Trump say ""crypto"" or ""Bitcoin"" during Pittsburgh rally on Nov 4?",2024-11-04,0.0345,0.9655
"Will Trump say ""think of it"" 5 or more times during Pittsburgh rally on Nov 4?",2024-11-04,0.53,0.47
"Trump wins the election but loses WI, MI, or PA?",2024-11-04,0.335,0.665
Will Trump get more votes than 2020?,2024-11-04,0.69,0.31
"Will Trump say ""Shanghai"" during Michigan rally on Nov 4?",2024-11-04,0.35,0.65
"Will Trump say ""China"" 7 or more times during Pittsburgh rally on Nov 4?",2024-11-04,0.42,0.58
"Will Trump say ""hell"" 20 or more times during Pittsburgh rally on Nov 4?",2024-11-04,0.35,0.65
Will Chris Christie win the 2024 US Presidential Election?,2024-11-04,0.0005,0.9995
AP calls Pennsylvania by 8:00 AM Nov 6?,2024-11-04,0.47,0.53
Will Trump mention $MAGA before Election?,2024-11-04,0.008,0.992
"Will Trump say ""unrealized"" during Macon, GA rally?",2024-11-04,0.11,0.89
Will Chris Christie win the popular vote in the 2024 Presidential Election?,2024-11-04,0.0005,0.9995
Will Trump get 76-78m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.145,0.855
Trump claims victory before AP calls the election?,2024-11-04,0.77,0.23
Will Trump get 74-76m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.1435,0.8565
"Will Trump say ""crypto"" or ""Bitcoin"" during Michigan rally on Nov 4?",2024-11-04,0.0445,0.9555
Will Trump get 84-86m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.075,0.925
Will Trump get 70-72m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.06,0.94
Will Trump get 72-74m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.135,0.865
Will Trump win Alaska by 6+ points?,2024-11-04,0.765,0.235
Will Trump get less than 66m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.0315,0.9685
Will Trump get 78-80m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.175,0.825
Will Trump get 82-84m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.095,0.905
Will Pennsylvania be the last state to be called by the AP?,2024-11-04,0.1,0.9
"Will Trump say ""gun"" 5 or more times during Pittsburgh rally on Nov 4?",2024-11-04,0.53,0.47
"Will Trump say ""god"" 4 or more times during Michigan rally on Nov 4?",2024-11-04,0.5,0.5
"Will Trump say ""McDonald's"" during Michigan rally on Nov 4?",2024-11-04,0.89,0.11
Will Trump get 68-70m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.04,0.96
Will Trump get 66-68m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.029,0.971
Will Trump get 80-82m votes in the 2024 U.S. Presidential Election?,2024-11-04,0.095,0.905
Will Trump get 86m or more votes in the 2024 U.S. Presidential Election?,2024-11-04,0.085,0.915
"Will Trump say  ""crypto"" or ""Bitcoin"" during North Carolina rally on Nov 3?",2024-11-04,0.021,0.979
"Will Trump say ""teleprompter"" 3 or more times during Pittsburgh rally on Nov 4?",2024-11-04,0.38,0.62
"Will Trump say ""Pocahontas"" during Pittsburgh rally on Nov 4?",2024-11-04,0.865,0.135
"Trump wins 287-251 - AZ, GA, NV, NC, PA",2024-11-04,0.085,0.915
"Will Trump say ""crypto"" or ""Bitcoin"" during Macon, GA rally?",2024-11-04,0.0205,0.9795
"Will Trump say ""tampon"" during Pittsburgh rally on Nov 4?",2024-11-04,0.04,0.96
Will Trump do better with LGTBQ voters than in 2020?,2024-11-04,0.12,0.88
"Will Trump say ""hell"" 20 or more times during Michigan rally on Nov 4?",2024-11-04,0.51,0.49
Trump-Vance Republican ticket on election day?,2024-11-04,0.9965,0.0035
"Will Trump say ""god"" 4 or more times during Wisconsin rally on Nov 1?",2024-11-04,0.003,0.997
Will Trump be Speaker by January 1?,2024-11-04,0.0415,0.9585
Will Trump lead in RCP by 2.5 or more on Nov 4?,2024-11-04,0.0005,0.9995
"Will Trump say ""China"" 7 or more times during Michigan rally on Nov 4?",2024-11-04,0.465,0.535
"Will Trump say ""garbage"" during North Carolina rally on Nov 3?",2024-11-04,0.855,0.145
Trump blowout victory?,2024-11-04,0.135,0.865
"Trump wins 322-216 - AZ, GA, MI, MN, NV, PA, WI",2024-11-04,0.0285,0.9715
"Will Trump say ""Dark MAGA"" during Michigan rally on Nov 4?",2024-11-04,0.18,0.82
"Will Trump say ""MAGA"" 4 or more times during North Carolina rally on Nov 3?",2024-11-04,0.6,0.4
"Will Trump say ""border"" 30 or more times during Pittsburgh rally on Nov 4?",2024-11-04,0.115,0.885
Will Trump drop out of presidential race?,2024-11-04,0.006,0.994
"Will Trump say ""Million"" 5 or more times during North Carolina rally on Nov 3?",2024-11-04,0.905,0.095
"Will Trump say ""border"" 20 or more times during Pittsburgh rally on Nov 4?",2024-11-04,0.68,0.32
Will Trump lead in RCP by 2-2.4 on Nov 4?,2024-11-04,0.0035,0.9965
"Will Trump say ""Mark Robinson"" during North Carolina rally on Nov 3?",2024-11-04,0.215,0.785
Will Trump win another state by the largest margin?,2024-11-04,0.017,0.983
Will Trump lead in RCP by 0.1-0.4 on Nov 4?,2024-11-04,0.395,0.605
Will Trump lead in RCP by 0.5-0.9 on Nov 4?,2024-11-04,0.07,0.93
"Will Trump say ""Garbage"" during Macon, GA rally?",2024-11-04,0.81,0.19
Will Trump win Mississippi by 20+ points?,2024-11-04,0.56,0.44
"Will Trump say ""Biden"" 10 or more times during Macon, GA rally?",2024-11-04,0.31,0.69
"Will Trump say ""RFK"" during North Carolina rally on Nov 3?",2024-11-04,0.68,0.32
"Will Trump say ""Mexico"" 4 or more times during Pittsburgh rally on Nov 4?",2024-11-04,0.755,0.245
Will Trump lead in RCP by 1-1.4 on Nov 4?,2024-11-04,0.014,0.986
Trump in jail before election day?,2024-11-04,0.0035,0.9965
"Will Trump say ""IQ"" during Macon, GA rally?",2024-11-04,0.82,0.18
"Will Trump say ""trans"" during Pittsburgh rally on Nov 4?",2024-11-04,0.91,0.09
"Will Trump say ""fake jobs"" during Michigan rally on Nov 4?",2024-11-04,0.61,0.39
"Will Trump say ""Voter ID"" during Macon, GA rally?",2024-11-04,0.755,0.245
Will Trump lead in RCP by 1.5-1.9 on Nov 4?,2024-11-04,0.0035,0.9965
Will Trump win Texas by 10+ points?,2024-11-04,0.32,0.68
Trump wins and picks Dimon for Treasury Secretary?,2024-11-04,0.085,0.915
"Trump wins 281-257 - AZ, GA, NC, PA",2024-11-04,0.065,0.935
Will Ron DeSantis win the popular vote in the 2024 Presidential Election?,2024-11-04,0.0005,0.9995
"Rabois Parlay: Trump wins PA, MI, GA and AZ?",2024-11-04,0.27,0.73
"Will Trump say ""Reagan"" during Michigan rally on Nov 4?",2024-11-04,0.67,0.33
"Trump wins 316-222 - AZ, GA, MI, MN, NC, PA, WI",2024-11-04,0.037,0.963
Will Trump win 6 swing states?,2024-11-04,0.14,0.86
"Will Trump say ""China"" 10 or more times during Macon, GA rally?",2024-11-04,0.14,0.86
Will Ron DeSantis win the 2024 US Presidential Election?,2024-11-04,0.0005,0.9995
Will Trump tweet 130 or more times Nov 1-8?,2024-11-04,0.32,0.68
Trump grope video released before the election?,2024-11-04,0.0235,0.9765
Will Trump go on Redscare?,2024-11-04,0.0025,0.9975
Trump wins a solid blue state?,2024-11-04,0.155,0.845
Will Trump tweet 100-109 times Nov 1-8?,2024-11-04,0.145,0.855
"Will Trump say ""Hitler"" during Pittsburgh rally on Nov 4?",2024-11-04,0.42,0.58
"Will Trump say ""North Carolina"" 20 or more times during North Carolina rally on Nov 3?",2024-11-04,0.345,0.655
Will Gavin Newsom win the 2024 US Presidential Election?,2024-11-04,0.0005,0.9995
Will Pennsylvania be the closest state?,2024-11-04,0.18,0.82
"Will Trump say ""cognitively impaired"" during North Carolina rally on Nov 3?",2024-11-04,0.4,0.6
Will any other Republican Politician win the 2024 US Presidential Election?,2024-11-04,0.0005,0.9995
Will Joe Biden endorse Donald Trump?,2024-11-04,0.004,0.996
Will Trump win Missouri by 20+ points?,2024-11-04,0.19,0.81
Will Trump tweet 120-129 times Nov 1-8?,2024-11-04,0.115,0.885
Will Trump tweet 60-69 times Nov 1-8?,2024-11-04,0.075,0.925
"Will Trump say ""FEMA"" during Pennsylvania rally on October 9?",2024-10-09,0.46,0.54
"Will Trump say ""God"" during Pennsylvania rally on October 9?",2024-10-09,0.93,0.07
"Will Trump say ""Milton"" during Pennsylvania rally on October 9?",2024-10-09,0.43,0.57
Trump on ballot in every state?,2024-10-09,0.983,0.017
"Will Trump say ""Green new scam"" during Pennsylvania rally on October 9?",2024-10-09,0.785,0.215
"Will Trump say ""Too big to rig"" during Pennsylvania rally on October 9?",2024-10-09,0.905,0.095
"Will Trump say ""Hurricane"" during Pennsylvania rally on October 9?",2024-10-09,0.925,0.075
"Will Trump say ""Border"" 20 or more times during Pennsylvania rally on October 9?",2024-10-09,0.87,0.13
"Will Trump say ""Border"" 30 or more times during Pennsylvania rally on October 9?",2024-10-09,0.415,0.585
"Will Trump say ""missile defense shield"" during Pennsylvania rally on October 9?",2024-10-09,0.915,0.085
"Will Trump say ""crypto"" or ""Bitcoin"" during Pennsylvania rally on October 9?",2024-10-09,0.0395,0.9605
"Will Trump say ""Fracking"" 3 or more times during Pennsylvania rally on October 9?",2024-10-09,0.785,0.215
"Rabois Parlay: Trump wins PA, MI, GA and AZ?",2024-10-09,0.315,0.685
"Will Trump say ""trans"" during Pennsylvania rally on October 9?",2024-10-09,0.895,0.105
"Will Trump say ""tampon"" during Pennsylvania rally on October 9?",2024-10-09,0.065,0.935
"Will Trump say ""Tax"" 20 or more times during Pennsylvania rally on October 9?",2024-10-09,0.79,0.21
"Will Trump say ""drill baby drill"" during Pennsylvania rally on October 9?",2024-10-09,0.865,0.135
"Will Trump say ""Kamala"" 25 or more times during Pennsylvania rally on October 9?",2024-10-09,0.705,0.295
Trump wins a solid blue state?,2024-10-09,0.15,0.85
Will Donald Trump win the 2024 US Presidential Election?,2024-10-09,0.5275,0.4725
Trump wins every swing state?,2024-10-09,0.195,0.805
"Will Trump say ""Kamala"" 35 or more times during Pennsylvania rally on October 9?",2024-10-09,0.265,0.735
Kamala flips a 2020 Trump state?,2024-10-11,0.39,0.61
"Will Trump say ""Kamala"" 35 or more times during California rally on October 12?",2024-10-11,0.225,0.775
Will Kamala Harris win the 2024 US Presidential Election?,2024-10-11,0.4505,0.5495
"Will Trump say ""Kamala"" 30 or more times during Colorado rally on October 11?",2024-10-11,0.535,0.465
Kamala Harris wins the popular vote?,2024-10-11,0.7265,0.2735
"Will Trump say ""Hillary"" during Colorado rally on October 11?",2024-10-11,0.54,0.46
Trump on ballot in every state?,2024-10-11,0.983,0.017
"Will Trump say ""unrealized"" during California rally on October 12?",2024-10-11,0.75,0.25
"Will Trump say ""too big to rig"" 3 or more times during California rally on October 12?",2024-10-11,0.515,0.485
